Brand,Resolution,Size ,Selling Price,Original Price,Operating System,Rating,Big,Expensive
SONY ,Full HD LED,43,43490,44900,Linux,4.5,0,0
PHILIPS,Ultra HD LED,58,45999,89990,Android,4.2,1,0
Coocaa ,Ultra HD LED,55,34999,73990,Android,4.3,1,0
PHILIPS,Ultra HD LED,50,38999,69990,Linux,4.2,1,0
Nokia ,QLED Ultra HD,55,54999,79999,Android,4.2,1,0
SONY ,Full HD LED,49,44999,69900,Android,4.5,0,0
KODAK ,Full HD LED,40,19499,20999,Android,4.4,0,0
KODAK ,Full HD LED,42,20499,27999,Android,4.4,0,0
MOTOROLA,Ultra HD LED,50,39999,54999,Android,4.3,1,0
Acer,HD LED,32,13999,19990,Android,3.9,0,0
TCL ,Full HD LED,55,41999,109990,Android,4.3,1,1
SAMSUNG,HD LED,32,16290,16400,Tizen,4.3,0,0
TCL ,Ultra HD LED,43,29999,51990,Linux,4.4,0,0
Blaupunkt,Full HD LED,42,20999,29999,Android,4.4,0,0
PHILIPS,Full HD LED,43,29999,44990,Android,4.2,0,0
Nokia ,Ultra HD LED,55,39999,59999,Android,4.3,1,0
Hisense,Ultra HD LED,55,46999,59990,Android,4.5,1,0
realme ,Ultra HD LED,50,39999,42999,Android,4.3,1,0
SAMSUNG,QLED Ultra HD,55,76999,129900,Tizen,4.5,1,1
Nokia ,HD LED,32,16499,19999,Android,4.3,0,0
PHILIPS,Ultra HD LED,50,42999,79990,Android,4.0,1,0
Mi ,Full HD LED,43,24999,25999,Android,4.4,0,0
Acer,Full HD LED,42,21999,29990,Android,3.9,0,0
Acer,Ultra HD LED,50,34999,44990,Android,3.6,1,0
KODAK ,Ultra HD LED,43,25999,37999,Android,4.4,0,0
Nokia ,Ultra HD LED,50,35999,54999,Android,4.3,1,0
Coocaa ,Full HD LED,42,18999,48990,Android,4.2,0,0
Blaupunkt,Ultra HD LED,50,34499,47999,Android,4.7,1,0
SAMSUNG,Ultra HD LED,55,55990,76900,Tizen,4.3,1,0
iFFALCON by TCL,QLED Ultra HD,55,44999,126990,Android,4.3,1,1
Thomson,Ultra HD LED,65,53999,70499,Android,4.4,1,0
SAMSUNG,Full HD LED,32,20880,24275,Tizen,4.2,0,0
iFFALCON by TCL,Full HD LED,40,19999,36990,Android,4.3,0,0
Blaupunkt,Ultra HD LED,43,28999,41999,Android,4.7,0,0
Thomson,Ultra HD LED,43,22999,29999,Android,4.3,0,0
Adsun,HD LED,32,8699,16999,Android,3.8,0,0
LG ,Ultra HD LED,55,57999,89990,WebOS,4.5,1,0
SONY ,Ultra HD LED,43,44999,66900,Linux,4.5,0,0
SAMSUNG,QLED Ultra HD,50,84999,119900,Tizen,4.8,1,1
TCL ,Ultra HD LED,55,39999,75990,Android,4.4,1,0
Acer,Ultra HD LED,58,38999,59990,Android,4.0,1,0
Thomson,Ultra HD LED,43,27999,37999,Android,4.4,0,0
SAMSUNG,QLED Ultra HD,50,68999,112900,Tizen,4.5,1,1
Vu,Ultra HD LED,65,56999,75000,Android,4.4,1,0
TCL ,HD LED,32,16499,29990,Android,4.2,0,0
Hisense,Ultra HD LED,43,29990,36990,Android,4.3,0,0
KODAK ,Ultra HD LED,55,34499,39990,Android,4.3,1,0
SONY ,Full HD LED,43,44900,44900,Linux,4.6,0,0
Blaupunkt,Ultra HD LED,55,39999,55999,Android,4.7,1,0
Thomson,HD LED,32,11999,14990,Android,4.1,0,0
Hisense,Ultra HD LED,43,30999,36990,Android,4.4,0,0
SAMSUNG,Full HD LED,43,32999,53900,Tizen,4.4,0,0
SAMSUNG,Full HD LED,43,36580,39900,Tizen,4.3,0,0
KODAK ,HD LED,24,8499,10499,Android,4.0,0,0
Thomson,Ultra HD LED,55,34999,46999,Android,4.3,1,0
SONY ,Ultra HD LED,43,56720,72900,Linux,4.8,0,0
T-Series,HD LED,24,9990,12990,Android,,0,0
MOTOROLA,HD LED,32,17999,21799,Android,4.3,0,0
Panasonic,Ultra HD LED,50,37999,42990,Android,4.2,1,0
MOTOROLA,QLED Ultra HD,55,55999,63999,Android,4.3,1,0
TCL ,Full HD LED,65,63999,159990,Android,4.3,1,1
Coocaa ,Ultra HD LED,43,23999,54990,Android,4.3,0,0
LG ,Ultra HD LED,55,65999,109990,WebOS,4.5,1,1
Coocaa ,Ultra HD LED,50,31499,64990,Android,4.3,1,0
TCL ,Full HD LED,43,27190,47990,Android,4.3,0,0
Vu,Ultra HD LED,43,30999,36000,Android,4.3,0,0
TOSHIBA,Full HD LED,43,22499,26990,VIDAA,4.4,0,0
Hisense,Ultra HD LED,58,41999,50990,Android,4.4,1,0
